filename	imageID	brightness_median	brightness_stdev	saturation_median	saturation_stdev	hue_median	hue_stdev	decade
content-53.jpg	243	125	85.9357	175	85.2672	19	58.6651	1950
content-54.jpg	244	196	62.5209	52	51.6233	142	71.6336	1950
content-55.jpg	245	93	81.8137	117	62.5874	30	62.6465	1950
content-56.jpg	246	31	86.0331	103	86.5668	20	55.5939	1950
content-57.jpg	247	182	101.0575	92	75.6414	16	75.389	1950
content-58.jpg	248	164	64.6155	47	58.4837	55	63.4701	1950
content-59.jpg	249	168	46.3711	126	49.9703	139	58.488	1950
content-6.jpg	250	207	33.5959	92	60.5729	15	29.8843	1950
content-60.jpg	251	96	71.0354	136	75.767	25	95.724	1950
content-61.jpg	252	156	79.7986	161	85.5745	18	76.4232	1950
content-62.jpg	253	197	44.2698	61	93.8782	23	36.6315	1950
content-63.jpg	254	197	30.9971	103	45.8823	23	19.0628	1950
content-64.jpg	255	210	76.3401	25	66.9234	29	65.2499	1960
content-65.jpg	256	207	37.967	105	50.1744	148	58.7556	1960
content-66.jpg	257	129	72.4807	107	53.141	52	53.6731	1960
content-67.jpg	258	43	92.5959	127	90.8258	42	62.3866	1960
content-68.jpg	259	83	87.6797	136	79.8253	32	65.169	1960
content-69.jpg	260	118	71.743	110	65.6759	22	59.5589	1960
content-7.jpg	261	188	65.8477	29	79.5612	42	66.1904	1960
content-70.jpg	262	158	84.9522	123	73.3876	31	56.8588	1960
content-71.jpg	263	58	93.0329	56	88.6563	31	61.7157	1960
content-72.jpg	264	186	49.7068	28	66.8539	21	77.398	1960
content-73.jpg	265	150	71.6202	136	69.8592	23	39.997	1960
content-74.jpg	266	93	82.8197	151	82.4198	28	53.118	1960
content-75.jpg	267	35	89.6193	102	98.8103	27	69.8883	1960
content-76.jpg	268	193	58.3821	150	50.4322	27	36.1494	1960
content-77.jpg	269	209	66.1623	27	63.1889	143	67.9759	1960
content-78.jpg	270	10	78.6579	57	93.9045	11	74.4045	1960
content-79.jpg	271	38	77.3026	90	81.167	42	74.0841	1960
content-8.jpg	272	169	44.458	75	58.2662	147	68.8292	1960
content-80.jpg	273	172	84.9666	153	82.672	20	65.3348	1960
content-81.jpg	274	95	81.1086	56	77.24	24	94.5218	1960
content-82.jpg	275	40	82.4602	115	99.5985	15	61.6493	1960
content-83.jpg	276	185	51.0124	16	62.4168	77	62.1322	1960
content-84.jpg	277	9	91.7341	12	84.4537	26	63.6885	1960
content-85.jpg	278	127	82.9915	97	85.5258	42	75.6103	1960
content-86.jpg	279	161	87.5036	136	83.9055	51	73.3637	1960
content-87.jpg	280	164	61.2297	83	72.4597	34	60.3634	1960
content-88.jpg	281	166	86.5015	22	86.4548	27	69.4956	1960
content-89.jpg	282	159	69.664	20	57.9489	46	71.5283	1960
content-9.jpg	283	164	93.2784	120	86.3427	13	63.1215	1960
content-90.jpg	284	200	54.6401	65	70.4386	20	68.2737	1960
content-91.jpg	285	133	74.1038	149	69.2184	25	59.4781	1960
content-92.jpg	286	133	74.9957	126	91.5704	21	69.4139	1960
content-93.jpg	287	184	58.3362	25	63.3639	131	63.9385	1960
content-94.jpg	288	144	76.4755	112	76.5121	54	101.2966	1960
content-95.jpg	289	162	68.8181	85	88.4353	59	71.3377	1960
content-96.jpg	290	161	49.9171	69	54.6793	24	22.9001	1960
content-97.jpg	291	214	78.3836	91	70.6329	77	104.6121	1960
content-98.jpg	292	136	93.238	24	83.0526	21	65.0781	1960
content-99.jpg	293	147	79.1875	131	71.4242	25	53.1438	1960
content.jpg	294	17	93.7228	121	93.6485	22	56.937	1960
d16380e9d9ad7d10533a18550cf25b87.jpg	295	204	35.556	26	35.6492	37	38.2287	1960
